Work Order Id,Std Job No,WO Completed Status,WO Create Date,Ads Building Number,Ads Eastings,Ads Northings,Ads Operation Area,Ads Osapr,Street postcode,Ads Post Town,Ads Region,Ads Water Operational Area,Ads Water Supply Zone
6013854,WRNW17,All Complete with Comments                        ,12/06/2017,,"318,949.00","743,838.00",North East,AP8YED8G5D85MVE0TH,PH106LA,BLAIRGOWRIE,East,Lintrathen WOA,Blairgowrie Burnhead WSZ
6014052,WRNW17,All Complete with Comments                        ,12/06/2017,3,"344,273.00","676,411.00",South East,AP5X6M8D5X745RY0FT,EH320LN,LONGNIDDRY,South,Castle Moffat WOA,Kingslaw WSZ
6014243,WRNW17,All Complete with Comments                        ,13/06/2017,,"266,561.00","868,847.00",North West,AP3P0D8Y5A8513FG3L,IV170UX,ALNESS,North,Assynt WOA,Contullich WSZ
6014606,WRNW17,All Complete with Comments                        ,13/06/2017,112,"351,384.00","615,277.00",South East,APGNBW815C357XEGNB,TD99PH,HAWICK,South,Roberton WOA,Crumhaugh Hill WSZ
6014873,WRNW17,All Complete                                      ,13/06/2017,18,"256,854.00","658,357.00",South West,APCUAJ805794VYQ04K,G466NN,GLASGOW,West,Picketlaw WOA,Greenbank WSZ
6014973,WRNW17,All Complete with Comments                        ,13/06/2017,,"261,568.00","661,457.00",South West,APTBD18G5GF4XGQ0H3,G732SY,GLASGOW,West,Milngavie WOA,C2 Craigmaddie WSZ
6015033,WRNW17,All Complete with Comments                        ,13/06/2017,29,"324,823.00","674,333.00",South East,APHK268W5Q744RN0BR,EH36HE,EDINBURGH,South,Glencorse WOA,Edinburgh Centre West WSZ
6016273,WRNW17,Complete (Partial)                                ,14/06/2017,120,"260,006.00","657,496.00",South West,AP0K698C2WE4VJU0H3,G769DE,GLASGOW,South,Daer WOA,Douglas Moor WSZ
6016281,WRNW17,All Complete with Comments                        ,14/06/2017,8,"324,880.00","676,586.00",South East,AP3M1W8H5QU45VNGN1,EH53HD,EDINBURGH,South,Glencorse WOA,Craigleith WSZ
6016291,WRNW17,All Complete with Comments                        ,14/06/2017,17,"318,484.00","693,147.00",North East,APFDG4895CB4DYWGEH,KY59BL,LOCHGELLY,East,Glendevon WOA,Lochgelly Spion Kop WSZ
6016501,WRNW17,All Complete                                      ,14/06/2017,17,"391,137.00","805,102.00",North East,AP2PAG8W5T842YW0X5,AB158BT,ABERDEEN,East,Invercannie & Mannofield WOA,Slopefield WSZ
6018124,WRNW17,All Complete with Comments                        ,16/06/2017,7,"279,920.00","694,149.00",South West,APY24C806LA4DFUG4L,FK81UH,STIRLING,West,Turret West Region WOA,Dunblane WSZ
6021540,WRNW17,Complete (Partial)                                ,19/06/2017,54,"256,744.00","658,397.00",South West,APJDH98Q56J4V0YGPK,G466ND,GLASGOW,West,Picketlaw WOA,Greenbank WSZ
6021738,WRNW17,All Complete with Comments                        ,19/06/2017,9,"354,569.00","685,131.00",South East,APK5FU8J52T492UGWU,EH394BA,NORTH BERWICK,South,Castle Moffat WOA,Heugh WSZ
6021902,WRNW17,All Complete with Comments                        ,20/06/2017,145,"324,384.00","672,484.00",South East,AP1J268W77V43VN0XR,EH39PW,EDINBURGH,South,Glencorse WOA,Morningside/Grange WSZ
6022089,WRNW17,All Complete with Comments                        ,20/06/2017,13,"355,629.00","685,293.00",South East,APBP6M8D54V494Y08U,EH394JY,NORTH BERWICK,South,Castle Moffat WOA,Heugh WSZ
6022560,WRNW17,Complete (Partial)                                ,20/06/2017,21,"330,999.00","665,228.00",South East,APE6ED8R5LR4YBU0KH,EH193AE,BONNYRIGG,South,Rosebery (Ed & Lothian) WOA,Rosebery WRM WSZ
6022711,WRNW17,Complete (Partial)                                ,20/06/2017,115,"250,103.00","662,946.00",South West,APEHBL8Q59K4X7U06K,PA27BE,PAISLEY,West,Milngavie WOA,M5 Mugdock WSZ
6023409,WRNW17,All Complete with Comments                        ,21/06/2017,8,"296,352.00","575,886.00",South East,AP3P7R8D5LE55HAGR5,DG27NU,DUMFRIES,South,Killylour & Terregles WOA,Clunie WSZ
6026026,WRNW17,All Complete with Comments                        ,23/06/2017,301,"299,329.00","576,061.00",South East,AP3F7R8D5A855LA056,DG13JB,DUMFRIES,South,LF & Terregles & Killylour WOA,Larchfield CWT WSZ
6026221,WRNW17,All Complete                                      ,23/06/2017,2,"391,528.00","806,227.00",North East,APG99G8M5TG43HTGAM,AB155JE,ABERDEEN,East,Invercannie & Mannofield WOA,Pitfodels WSZ
6026691,WRNW17,All Complete with Comments                        ,23/06/2017,231,"289,437.00","682,305.00",South West,AP1VKP8PA6548NTG2W,FK27UN,FALKIRK,West,Carron Valley WOA,Woodend WSZ
